"2256","6","28"
"2257","2,6","11,23"
"2258","6","28"
"2259","6","28"
"2260","6,6","28,36"
"2261","6,6,6","23,27,28"
"2262","6,6","23,28"
"2263","6,6,7","27,28,44"
"2264","6,6,7","27,28,44"
"2265","6,6,,67","27,28,36,44"
"2266","8","51"
"2267","8","51"
"2268","8","51"
"2269","3","16"
"2270","3","17"
"2271","3,6","18,32"
"2272","3,6","18,32"
"2273","3,6","18,32"
"2274","3,6","18,32"
"2275","3,6","18,32"
"2276","3,6","18,32"
"2277","3","19"
"2278","1","45"
"2279","1","50"
"2280","1,2","50,3"
"2281","1","5"
"2282","6","32"
"2283","6","31"
"2284","4","6"
"2285","4,4","6,9"
"2286","4,4","6,9"
"2287","4,4","6,9"
"2288","4,4","6,9"
"2289","4,4","6,9"
"2290","2,4","1,9"
"2291","2,4","1,9"
"2292","2,4","1,9"
"2293","2,4","1,9"
"2294","2,4","1,9"
"2295","2,4","1,9"
"2296","2,4","1,9"
"2297","2,4","1,9"
"2298","2,4","1,9"
"2299","2,4","1,9"
"2300","2,4","1,9"
"2301","2,4","1,9"
"2302","4","9"
"2303","4","9"
"2304","4","9"
"2305","3","16"
"2306","3","14"
"2307","3","18"
"2308","6","28"
"2309","4","9"
"2310","1,2,2,6","50,1,3,32"
"2311","1,2,2,6","50,1,3,32"
"2312","1,2,2,6","50,1,3,32"
"2313","1,2,2,6","50,1,3,32"
"2314","2,6","1,31"
"2315","5","60"
"2316","5","60"
"2317","5","60"
"2318","5","60"
"2319","5","60"
"2320","5","60"
"2321","5","60"
"2322","5","60"
"2323","5","60"
"2324","5","60"
"2325","5","60"
"2326","5","60"
"2327","5","60"
"2328","5","60"
"2329","5","60"
"2330","5","60"
"2331","5","60"
"2332","5","60"
"2333","5","60"
"2334","5","60"
"2335","5","60"
"2336","5","60"
"2337","5","60"
"2338","5","60"
"2339","5","60"
"2340","5","60"
"2341","5","60"
"2342","5","60"
"2343","2,3,2","1,16,3"
"2344","2","1"
"2345","1,7","46,40"
"2346","7","44"
"2347","2,3,2","1,16,3"
"2348","7","44"
"2349","2","5"
"2350","2","1"
"2351","6","27"
"2352","4","12"
"2353","2","4"
"2354","7","40"
"2355","1,7","46,40"
"2356","3","14"
"2357","6,7,2","27,40,1"
"2358","2,4","1,9"
"2359","2,3,2","3,14,1"
"2360","3,3","16,19"
"2361","2,3,2","3,14,1"
"2362","3","14"
"2363","1,7","46,40"
"2364","1,7,2,7,1","48,44,1,37,49"
"2365","5","60"
"2366","1,7,2,7,1","48,44,1,37,49"
"2367","5","60"
"2368","3","14"
"2369","3,3","14,15"
"2370","2,1","1,48"
"2371","2,3,2","1,16,3"
"2372","3","14"
"2373","7","44"
"2374","3,3","16,19"
"2375","7","44"
"2376","6","32"
"2377","2,4","1,9"
"2378","2,3,2","3,14,1"
"2379","2,3,2","3,14,1"
"2380","2,3,2","1,16,3"
"2381","7","38"
"2382","1,7","46,40"
"2383","2,6,7","1,27,40"
"2384","7","40"
"2385","2,3,2","1,16,3"
"2386","2,2,2","1,2,3"
"2387","1","47"
"2388","2,3,2","1,16,3"
"2389","1,7","47,44"
"2390","2,3,2","1,16,3"
"2391","2,3,2","1,16,3"
"2392","1","47"
"2393","3","16"
"2394","7","44"
"2395","2,2,3,1,1","3,4,16,47,48"
"2396","2,2,2","1,3,4"
"2397","1","47"
"2398","2,2,3,1,1","3,4,16,47,48"
"2399","2","4"
"2400","2,2,2","1,3,4"
"2401","2,3,2","3,14,1"
"2402","7","40"
"2403","7","40"
"2404","7","40"
"2405","5","60"
